experiment_id,submitted_at,score_type,leaderboard_score,local_rolling_brier,local_bss,local_rank,notes,submission_number
recent_season_weight_20260811,2026-08-11T15:30:00+09:00,public,806.0,,,1,"사용자 보고 점수; RunId 20260811_114305_001, quick 20260811_114648_research; full rolling 미실행",1
catboost_seed_777_20260811,2026-08-11T21:39:38+09:00,public,808.0,0.24825772416919234,0.010262403655753927,1,"사용자 보고 점수 기록 시각 기준; Seed 42 대비 +2점; Champion 승격",2
