experiment_id,submitted_at,score_type,leaderboard_score,seed,status,previous_champion_score,improvement,notes
recent_season_weight_20260811,2026-08-11T15:30:00+09:00,public,806.0,42,previous_champion,,,"사용자 보고 점수; 산출물 보존"
catboost_seed_777_20260811,2026-08-11T21:39:38+09:00,public,808.0,777,champion,806.0,2.0,"사용자 보고 결과 기록 시각; 추가 제출 없음"
