validation_year,candidate,rows,brier,delta_vs_915,delta_vs_046,prediction_mean,target_rate,prediction_bias,prediction_std,auc,logloss,probability_min,probability_max,nan_count,inf_count,row_id_duplicates
2022,baseline_915,247472,0.24340969885134944,0.0,1.5467712684014145e-05,0.5296638580916497,0.5289204435249241,0.0007434145667256642,0.07407630208873389,0.5774176945557318,0.6796175928032583,0.36348070554756035,0.7908515153816565,0,0,0
2022,count_state_046,247472,0.24339423113866543,-1.5467712684014145e-05,0.0,0.5293067930510097,0.5289204435249241,0.00038634952608562756,0.07424488416358138,0.5775838071253613,0.6795883554767507,0.3614177631096951,0.7950075250607103,0,0,0
2022,hand_matchup_047,247472,0.2433166098832499,-9.308896809953615e-05,-7.7621255415522e-05,0.529293367255952,0.5289204435249241,0.00037292373102792986,0.0742680945598595,0.5783875207087962,0.6794273183034834,0.3530825510783791,0.7946227001286348,0,0,0
2022,candidate_a_joint,247472,0.2433166098832499,-9.308896809953615e-05,-7.7621255415522e-05,0.529293367255952,0.5289204435249241,0.00037292373102792986,0.0742680945598595,0.5783875207087962,0.6794273183034834,0.3530825510783791,0.7946227001286348,0,0,0
2022,candidate_b_fixed_blend,247472,0.24334338360328817,-6.63152480612772e-05,-5.0847535377263053e-05,0.5293000801534808,0.5289204435249241,0.0003796366285567787,0.07417539675931241,0.5781076344102521,0.6794824533771219,0.35725015709403707,0.7934317165122531,0,0,0
2023,baseline_915,245525,0.25086441827051154,0.0,5.584691080801063e-05,0.522729042795978,0.49995723449750534,0.02277180829847264,0.03238342334748655,0.5268176310641526,0.6949399641129869,0.4521288220024541,0.648340368792939,0,0,0
2023,count_state_046,245525,0.2508085713597035,-5.584691080801063e-05,0.0,0.5225774021460798,0.49995723449750534,0.022620167648574496,0.032009163139016,0.5271599601875099,0.6948245583616355,0.45119482326551047,0.6483740481904556,0,0,0
2023,hand_matchup_047,245525,0.25086928221738336,4.863946871824787e-06,6.071085767983542e-05,0.5222545328482365,0.49995723449750534,0.022297298350731187,0.03398627610552054,0.5275674431840337,0.6949570069276323,0.4455780755196301,0.6550205948398033,0,0,0
2023,candidate_a_joint,245525,0.25086928221738336,4.863946871824787e-06,6.071085767983542e-05,0.5222545328482365,0.49995723449750534,0.022297298350731187,0.03398627610552054,0.5275674431840337,0.6949570069276323,0.4455780755196301,0.6550205948398033,0,0,0
2023,candidate_b_fixed_blend,245525,0.2508369991335882,-2.741913692333453e-05,2.84277738846761e-05,0.5224159674971582,0.49995723449750534,0.022458732999652897,0.032983710379232103,0.5274051670356783,0.6948866794122718,0.4483864493925703,0.6516973215151295,0,0,0
2024,baseline_915,253507,0.24806077772944432,0.0,1.5764170862686555e-05,0.4832644608266602,0.4861049201797189,-0.0028404593530587108,0.040123848363755,0.5465360812781481,0.6892558839296147,0.35030221219132657,0.6349683380286888,0,0,0
2024,count_state_046,253507,0.24804501355858163,-1.5764170862686555e-05,0.0,0.48319807981953905,0.4861049201797189,-0.002906840360179852,0.03998595039416735,0.5467701407167064,0.6892242159978053,0.3497719472641719,0.6341457769122619,0,0,0
2024,hand_matchup_047,253507,0.24788875064674726,-0.00017202708269706268,-0.00015626291183437613,0.48319127114606963,0.4861049201797189,-0.002913649033649268,0.0416917113788183,0.5487807116053698,0.6889081980780196,0.33236495439695696,0.6404416311308498,0,0,0
2024,candidate_a_joint,253507,0.24788875064674726,-0.00017202708269706268,-0.00015626291183437613,0.48319127114606963,0.4861049201797189,-0.002913649033649268,0.0416917113788183,0.5487807116053698,0.6889081980780196,0.33236495439695696,0.6404416311308498,0,0,0
2024,candidate_b_fixed_blend,253507,0.24794557793362287,-0.00011519979582144679,-9.943562495876024e-05,0.48319467548280437,0.4861049201797189,-0.0029102446969145324,0.04058612270047136,0.5480689252419308,0.6890230873586837,0.3458072704408677,0.634177618759677,0,0,0
