candidate,mean_brier,recent_weighted_brier,bss,worst_season_brier,brier_2022,brier_2023,brier_2024,mean_prediction,mean_prediction_std,catboost_weight,improvement_vs_catboost
blend_cat_0.20,0.24765356150061316,0.24819280098124707,0.012288457799471963,0.2511563164966311,0.2435209265678214,0.2511563164966311,0.24828344143738695,0.5196805895771014,0.04692824919144183,0.2,0.000509108207593395
blend_cat_0.25,0.24765896545394547,0.24819442133372616,0.012282009422082685,0.25121011637849283,0.24350667857164485,0.25121011637849283,0.24826010141169869,0.5194595789722365,0.04762912403688713,0.25,0.0005074878551143136
blend_cat_0.15,0.24765247170907467,0.2481952071501674,0.012278882175982053,0.25111278319548963,0.24353647924782232,0.25111278319548963,0.24830815268391207,0.5199016001819662,0.0462400788079003,0.15,0.0005067020386730625
blend_cat_0.30,0.24766868356907165,0.24820006820760465,0.012259537043814328,0.2512741828410749,0.24349373525929272,0.2512741828410749,0.2482381326068473,0.5192385683673716,0.048341913600476245,0.3,0.0005018409812358182
blend_cat_0.10,0.24765569607933005,0.2482016398404871,0.012253282551613287,0.2510795164750684,0.2435533366116477,0.2510795164750684,0.2483342351512741,0.5201226107868311,0.04556562664981236,0.1,0.0005002693483533716
blend_cat_0.35,0.24768271584599164,0.2482097416028825,0.012221040664667004,0.2513485158843772,0.243482096630765,0.2513485158843772,0.24821753502283275,0.5190175577625068,0.04906598849077939,0.35,0.0004921675859579644
blend_cat_0.05,0.2476632346113793,0.2482120990522062,0.012211658926365332,0.2510565163353674,0.24357149865929748,0.2510565163353674,0.24836168883947296,0.5203436213916959,0.04490622471274886,0.05,0.0004898101366342666
blend_cat_0.40,0.24770106228470554,0.24822344151955983,0.01216652028464038,0.2514331155083997,0.2434717626860617,0.2514331155083997,0.24819830865965517,0.5187965471576418,0.04980083583501416,0.4,0.0004784676692806411
blend_cat_0.00,0.2476750873052224,0.24822658478532472,0.012154011300238188,0.2510437827763867,0.24359096539077169,0.2510437827763867,0.24839051374850873,0.5205646319965609,0.044263665448200464,0.0,0.0004753244035157478
blend_cat_0.45,0.24772372288521324,0.2482411679576365,0.01209597590373479,0.2515279817131425,0.2434627334251828,0.2515279817131425,0.2481804535173144,0.518575536552777,0.05054602858420107,0.45,0.0004607412312039594
blend_cat_0.50,0.2477506976475148,0.2482629209171126,0.01200940752195001,0.2516331144986056,0.2434550088481283,0.2516331144986056,0.24816396959581052,0.5183545259479121,0.051301203689105124,0.5,0.0004389882717278637
blend_cat_0.55,0.2477819865716102,0.2482887003979881,0.011906815139286375,0.2517485138647889,0.24344858895489824,0.2517485138647889,0.24814885689514354,0.5181335153430471,0.05206604637261538,0.55,0.0004132087908523818
blend_cat_0.60,0.24781758965749953,0.24831850640026298,0.01178819875574344,0.2518741798116925,0.2434434737454926,0.2518741798116925,0.2481351154153134,0.5179125047381823,0.05284027866105106,0.6,0.000383402788577486
blend_cat_0.65,0.24785750690518263,0.24835233892393727,0.011653558371321537,0.25201011233931636,0.24343966321991134,0.25201011233931636,0.24812274515632018,0.5176914941333174,0.05362365093550057,0.65,0.000349570264903204
blend_cat_0.70,0.2479017383146596,0.24839019796901093,0.011502893986020668,0.2521563114476605,0.24343715737815452,0.2521563114476605,0.24811174611816378,0.5174704835284525,0.05441593565376285,0.7,0.00031171121982953576
blend_cat_0.75,0.24795028388593043,0.24843208353548402,0.01133620559984061,0.25231277713672484,0.24343595622022213,0.25231277713672484,0.2481021183008443,0.5172494729235876,0.05521692265126323,0.75,0.0002698256533564536
blend_cat_0.80,0.24800314361899511,0.24847799562335654,0.011153493212781251,0.25247950940650954,0.24343605974611413,0.25247950940650954,0.2480938617043617,0.5170284623187228,0.05602641560280033,0.8,0.0002239135654839297
blend_cat_0.85,0.24806031751385368,0.24852793423262842,0.010954756824843037,0.2526565082570144,0.24343746795583054,0.2526565082570144,0.248086976328716,0.5168074517138579,0.05684422934556519,0.85,0.0001739749562120474
blend_cat_0.90,0.24812180557050598,0.24858189936329966,0.010739996436025967,0.25284377368823957,0.24344018084937133,0.25284377368823957,0.24808146217390709,0.516586441108993,0.0576701878461438,0.9,0.00012000982554080664
blend_cat_0.95,0.24818760778895224,0.24863989101537037,0.010509212046329486,0.253041305700185,0.2434441984267366,0.253041305700185,0.24807731923993512,0.5163654305041281,0.05850412265210065,0.95,6.201817347009642e-05
blend_cat_1.00,0.24825772416919234,0.24870190918884047,0.010262403655753927,0.25324910429285075,0.24344952068792622,0.25324910429285075,0.24807454752680003,0.5161444198992632,0.05934587171001321,1.0,0.0
