fold,validation_year,pearson_prediction_correlation,pearson_error_correlation
fold_2022,2022,0.9761139183883669,0.9994642569864546
fold_2023,2023,0.9664771282796039,0.9960984591674356
fold_2024,2024,0.9176480704018399,0.9994807366479018
