candidate,fold,validation_year,train_rows,validation_rows,latest_train_season,latest_season_weight,validation_weight_applied,seed,brier,baseline_brier,bss,auc,logloss,target_rate,prediction_mean,prediction_std,best_iteration,runtime_seconds
lightgbm_unweighted,fold_2022,2022,728588,247472,2021,1.0,False,42,0.24358888836281975,0.24936587062859672,0.023166691781896454,0.575905121371777,0.6799922236859949,0.5289204435249241,0.531027285907962,0.07178894437741214,85,9.687999999965541
lightgbm_latest_weight_2,fold_2022,2022,728588,247472,2021,2.0,False,42,0.24359096539077169,0.24936587062859672,0.023158362542828215,0.5757163334960529,0.6799933576454875,0.5289204435249241,0.5327747775303736,0.07429926031324102,78,8.594000000040978
catboost_seed777_champion,fold_2022,2022,728588,247472,2021,2.0,False,777,0.24344952068792622,0.24936587062859672,0.023725580111491062,0.5772471451399146,0.679700561571618,0.5289204435249241,0.5327155788687299,0.07192255649457512,184,0.0
lightgbm_unweighted,fold_2023,2023,976060,245525,2022,1.0,False,42,0.25110373231369504,0.2515665167378201,0.0018396105734824753,0.5254219884340006,0.6953865793466951,0.49995723449750534,0.5327793889150221,0.021707710912816695,9,9.5
lightgbm_latest_weight_2,fold_2023,2023,976060,245525,2022,2.0,False,42,0.2510437827763867,0.2515665167378201,0.002077915488165605,0.5262127042816614,0.6952687928824166,0.49995723449750534,0.5314006532860923,0.0225691362361063,9,11.218999999924563
catboost_seed777_champion,fold_2023,2023,976060,245525,2022,2.0,False,777,0.25324910429285075,0.2515665167378201,-0.006688440007237562,0.5284983117538011,0.7003093954368907,0.49995723449750534,0.522215142585586,0.06580532767687534,184,0.0
lightgbm_unweighted,fold_2024,2024,1221585,253507,2023,1.0,False,42,0.24821196419272257,0.25187504706086583,0.014543254327444632,0.5458536454052063,0.6895589314618283,0.4861049201797189,0.4967003359148018,0.03945784982376428,104,17.844000000040978
lightgbm_latest_weight_2,fold_2024,2024,1221585,253507,2023,2.0,False,42,0.24839051374850873,0.25187504706086583,0.013834372848831933,0.5437868383977063,0.6899182744339527,0.4861049201797189,0.49815032681896837,0.03592259979525408,59,11.016000000061467
catboost_seed777_champion,fold_2024,2024,1221585,253507,2023,2.0,False,777,0.24807454752680003,0.25187504706086583,0.015088829077806176,0.5470604263389085,0.689282220375134,0.4861049201797189,0.49408817671839944,0.040309730958589175,184,0.0
